 Haemophilus ducreyi,B03.440.450.600.450.125
 Staphylococcus epidermidis,B03.300.390.400.800.750.343
Animals,Y05.070.010
 Cell Physiological Phenomena,G04
Phleum,B01.650.940.800.575.100.822.788
 Peas,B01.650.940.800.575.100.401.125
Shock,G07.700.830.249
 Food Chain,G16.500.275.157.250
 Beta vulgaris,B01.650.940.800.575.100.200.399
 Beijing,@11756
 Waste Water,D20.944.932
Pneumonia,C01.252.400.210.210.124
 Soy Foods,G07.203.300.850.450.500
 adefovir,@204800
 Tolnaftate,D02.241.081.251.869.791
 Water Softening,N06.850.860.510.910
 Cedrus,B01.650.940.800.575.400.122.666.222
 Astrology,K01.672.296
 Mycobacterium ulcerans,C01.252.410.040.552.475.247
Carcinogens,D002274
 Ion Channels,D12.776.157.530.400.368
 Genotype,E05.393.442
 Metaphor,K01.400.899.500
 Craniocerebral Trauma,C10.900.300.675
 Imipenem,D02.065.589.099.124.300.500
 Ticks,B01.050.500.131.166.132.832.400.712.700
 Balaenoptera,B01.050.150.900.649.189.865.100.500
 Renal Insufficiency,C12.777.419.780.050
Africa,Z01.058.290
 Surgeons,M01.526.485.810.910
 Brain Diseases,C10.228.140.300.510
 Hepatitis A virus,D12.776.124.486.485.114.254.450.251
 Swimming,N06.850.860.410.500
 Environment,G05.695.337
 Pesticides,D010575
 Terrorism,I01.198.240.856.800.325
 Pest Control,N06.850.780.200.650.650
 Somatosensory Cortex,A08.186.211.730.885.287.500.670.675
 Eustachian Tube,A09.246.397.369
 Noise,E02.331.750
Neck Pain,C10.597.617.576
 Emblems and Insignia,K01.400.255
Child Health,I01.409.418.750.600.480.440
 Beauty,J01.576.112
 Clitoris,A08.800.800.720.450.680
 Mentha spicata,B01.650.940.800.575.100.583.520.483.750
 Carum,B01.650.940.800.575.100.075.166
 Sterilization,E04.950.300.766
Ice,D08.811.277.656.262.500.126.550.900
Recurrence,C23.550.291.937
 South America,Z01.107.757
 Serotonin,D058832
 Dermatopathia pigmentosa reticularis,@63684
 Histamine Antagonists,D006633
 Pimpinella,B01.650.940.800.575.100.075.798
 Mitochondrial Diseases,C18.452.660
 TRPV Cation Channels,D12.776.157.530.400.901.888
 Dexamethasone,D04.808.745.432.769.344.300
 Phenotype,E05.393.385
 Mycorrhizae,A18.400.525
 Muscle Strength,E07.230.460
 Streptococcus pneumoniae,B03.353.750.737.872.550
 Latex,C20.543.600
 Poverty,I01.880.853.996.535.550
 Hydrolysis,D08.211.790
 Lipid A,D09.698.718.450.500
 Silage,G07.203.300.300.100.800
 Arctium,B01.650.940.800.575.100.100.072
 Craniotomy,E04.525.190
 Thienamycins,D02.065.589.099.124.300
 Insurance Coverage,N03.219.521.576.265
 Botulinum Toxins,D08.811.277.656.300.480.153.100
 Anemia,D12.776.313.906
Ownership,I01.880.604.583.594
 Coca,B01.650.940.800.575.100.346.500
 Cod Liver Oil,D10.212.302.380.360
 Mental Fatigue,C23.888.369.500
 Vietnam,I01.880.735.950.250.937
 Pulmonary Medicine,H02.403.429.675
 Clostridium Infections,C01.252.410.222
Otitis Externa,C09.218.705.496
 Mindfulness,F02.463.551
 Air Filters,E05.196.454.201
 Nurseries,N02.278.388.540
 Ananas,B01.650.940.800.575.100.159.099
 Sterols,D04.808.247.808
 General Practitioners,M01.526.485.810.485
 Thigh,A01.378.610.750
 Body Weights and Measures,E01.370.600.115.100
Floods,G16.500.240.135.812
Quarantine,N02.278.421.556.330
 Benzoxazines,D03.383.533.249
 Endogenous Retroviruses,B04.613.807.250
 Cyclophosphamide,D02.455.526.728.650.730.243
 Mucins,D12.776.395.560.631
 Homosexuality,F01.145.802.975.500.400
 Gingivitis,C01.252.400.388.350.400
 Surgical Instruments,E07.858.700
 Eczema,C15.378.100.100.970
 Bile Acids and Salts,D04.808.105
 Transgender Persons,M01.909
 Cyperus,B01.650.940.800.575.100.312.199
 Lettuce,B01.650.940.150.900
 Libya,Z01.058.266.513
 Health Promotion,N02.421.726.809
Gout,D006074
Parity,G08.686.677
Nautilus,B01.050.500.644.116.550
 Syndrome,C05.116.099.739
Eye Diseases,C11.270
 Disclosure,F01.829.401.046
 Lizards,B01.050.150.900.833.393
 Rural Population,N01.600.725
 Superoxide Dismutase,D08.811.682.881
 Analgesics,D018712
 Sodium Bicarbonate,D12.776.157.530.450.437
 Reflex,E01.370.376.550.650.324
 Grindelia,B01.650.940.800.575.100.100.356
 Electric Stimulation,E02.331
 Musculoskeletal Diseases,C05
 Strepsils,@149028
 Alkaloids,D03.132.577
 Smog,D20.633.875
 Drug Combinations,D26.310
 Light,E02.774.465
 Scutellaria baicalensis extract,@230564
 American Heart Association,N03.540.630.780.110
Mercury,C10.720.475.600
Albuterol,D02.033.100.291.057
 Eating,F03.400.188
 Wisconsin,Z01.107.567.875.350.900
 Negotiating,F01.145.209.520
 Arizona,B03.440.450.425.800.100
 Galaxies,G01.060.249.320
 Bacterial Vaccines,D20.215.894.135
 Water Purification,N06.850.780.200.800.800.900.900
 Japan,K01.400.504.984.186
 Tannins,D02.241.223.100.300.200.299
 Wrist,C10.668.829.500.850.600
Electronic Mail,L01.143.506.423.906.377.333
Yawning,G09.772.770.980
 Bread,D05.750.078.840.762
 Thrombospondin 1,D12.776.395.550.014
 Quinolones,D03.438.810.835.055
 Codeine,D03.132.577.249.562.149
 Hypotension,C10.177.575.600.537
 Spleen,B04.820.650.375.700.850
 Aztreonam,D02.065.589.099.500.044
 caryophyllene,@195254
 Vincristine,D03.132.436.681.827.817
 Fossils,I01.076.368.584.311
 Humanism,K01.752.566.479.174
 Adipose Tissue,A10.165.114.830
Glass,D25.339.291.402
 Glutens,D12.776.765.725.500.500
 American Cancer Society,N03.540.630.780.080
 Peptic Ulcer,C06.405.469.275.800.698
 Transsexualism,F03.835.800
 Muscle Cramp,C05.651.475
 Voice,L01.224.900.889
Candida,B01.300.381.147.400
 Transcription Factors,D12.776.210.500.570.294
 Aftercare,E02.760.058
 Muscarinic Antagonists,D018727
 Heel,E04.555.712
Steel,D12.644.276.374.410.800
Carrier Proteins,D12.776.157
Bismuth,D02.241.081.251.869.220
 Jews,M01.686.754.600
 Lethargy,C10.597.606.441
 Low Back Pain,C10.597.617.140.400
 Myocardial Ischemia,C14.280.647
 Nurses,M01.526.485.067.450
 Egypt,B04.820.230.475.950
 Molting,G07.700.320.500.550.750
 Haemophilus,B03.440.450.600.224.875
 Rhinitis,C08.460.799.315
 Ergotamines,D03.132.327.412
 Dronabinol,D02.455.849.090.810
 Erectile Dysfunction,C12.294.644.486
 Nucleocapsid,D12.776.964.970.600
Medical Records,E05.318.308.940.968.249.500
Elbow,E07.695.400.300
 Coxiella burnetii,B03.440.400.425.297.150.100
 Milk,F01.145.407.199.500
 Burn Units,N02.278.388.493.160
 cordycepin,@81178
 Subcutaneous Fat,A10.165.114.830.500.750
 Ultraviolet Rays,G01.358.500.505.650.891
Urban Renewal,I01.880.709.876
 Forests,G16.500.275.157.437.750
 Disulfides,D01.248.497.158.874.390
 Hair Removal,E02.218.372
 Artifacts,E05.047
 Clinical Coding,N04.452.758.708.200.400.500
 Hordeum,B01.650.940.800.575.100.822.481
 Renewable Energy,N06.230.132.644
 Isoxazoles,D03.383.129.385
 Growth Disorders,C23.550.393
 Organophosphates,D02.705.400
 Parturition,E04.520.252
 Contraceptive Agents,D003272
 Polycarboxylate Cement,D25.339.291.700
 Dermatomycoses,C01.539.800.200
 Calculi,C06.130.409.633
 Physician Assistants,M01.526.485.067.740
 Insect Vectors,N06.850.310.350.100.500
Turkey,B04.820.069.080
 Alnus,B01.650.940.800.575.100.840.316
 Urea,C10.228.140.163.100.937.124
 Antiprotozoal Agents,D000981
 Leuconostoc,B03.353.750.475.450
 Western Australia,Z01.639.100.996
Sodium,D062687
 Prefrontal Cortex,A08.186.211.730.885.287.500.270.700
Vegetables,B01.650.510.956
Endoscopy,E01.370.388.250.630
 Prions,D12.776.785
 Electric Power Supplies,E07.305.124
 Pseudomonas,D20.215.894.135.620
 Cholera Toxin,D08.811.913.400.725.115.180
 Hypokinesia,C10.597.350.400
 Albuminuria,C12.777.934.734.269
 Tsunamis,G01.311.340.843
 Sports,I03.450.642.845.834
 Emergencies,N02.278.216.500.968.336
 Conversion Disorder,F03.875.300
 Virus Uncoating,G06.920.875.890
 Escherichia coli,B03.440.450.425.325.300.900
 Ammonium Compounds,D01.625.062
Headache,C10.228.140.546.699.124
 Arisaema,B01.650.940.800.575.100.085.088
 Florida,B01.050.150.200.199.500
 Carcinogens,D002274
 Placental Lactogen,D06.472.699.649.692
 Tunisia,Z01.058.266.887
 Adrenal Insufficiency,C19.053.500
 Wetting Agents,D27.720.877.974
 Blister,C02.256.466.382.316
 Agar,E01.370.225.875.220
 Hypothalamus,A08.186.211.464.497.342.650
 Lip,E02.218.085.090
 Mass Spectrometry,E05.196.566.880
 Stomatitis,B04.820.455.750.900.910
 Guaifenesin,D02.355.601.536.400
 HIV Infections,C02.782.815.616.400
 Angiosperms,B01.650.940.800.575.100
 Gout,D006074
 Viral Structures,A21
African Continental Ancestry Group,M01.686.508.100
 Peer Influence,F01.829.316.483.750
 Samoa,Z01.639.760.815.800.100
Gastropoda,B01.050.500.644.400
Light,E02.774.465
Volatilization,G01.595.680.750
 Serratia,B03.440.450.425.814.620
World Health Organization,N03.540.514.718.800
 Puerto Rico,Z01.107.084.900.750
 Endometritis,C13.351.500.056.750.249
 Crows,B01.050.150.900.248.620.750.150
 Lung Diseases,C08.381.483.581.062
 Stainless Steel,D01.490.800.900
 Names,L01.453.245.945.500
Computer Systems,L01.224.230
 Kenya,Z01.058.290.120.400
 Facial Pain,C10.597.617.894
 Term Birth,G08.686.785.760.769.490.500
 Genetic Structures,G05.360
 Prebiotics,D09.698.718.622
 Birds,B01.050.150.900.248.815
 South Australia,Z01.639.100.968
 Temperature,E05.196.401.402.117
 Skin Care,E02.547.800
 telbivudine,@87046
 Cathartics,D002400
 Oral Hygiene,E05.318.308.980.438.300.675
 onabotulinumtoxinA,@218389
 Fentanyl,D03.383.621.265
Back,F01.145.209.719
 Phthalic Acids,D02.241.223.805
 Comorbidity,N05.715.350.225
 Vibrio cholerae,B03.440.450.900.859.225.075
 Arthropods,B01.050.500.131
 New Brunswick,Z01.107.567.176.494
 Postpartum Period,G08.686.702
 Access to Information,I01.880.604.473.352.500.030
 Protective Clothing,E07.662.500
Protestantism,K01.844.188.644
Stethoscopes,E07.230.750
 Autotrophic Processes,G02.111.087.070
 Christian Science,K01.844.188.431
 Connexins,D12.776.543.585.250
 Polymethyl Methacrylate,D02.241.081.069.800.550.500
 Xylella,B03.440.400.425.967.950
Multimedia,J01.897.280.500.633
 Flax,B01.650.940.800.575.100.018
 Biofouling,G16.500.240.102
 Immunoglobulin E,D12.776.543.750.705.871.280
 Staphylococcus,B03.300.390.400.800.750.750
 Demulcents,D27.505.954.158.515
 Tobacco Products,J01.637.836
 Tuberculosis,C01.252.410.040.552.846.122
 Achievement,N01.824.196
 Rectum,A03.556.124.526.767
 Begoniaceae,B01.650.940.800.575.100.118
 Mediastinum,A01.923.761.800.500
 Fish Oils,D10.627.430
 Iris,C11.204.497
 Xylitol,D08.811.682.047.150.700.237
 Chemokine CXCL1,D12.644.276.374.200.120.050
 Infant Care,N02.421.088.120
 Gastroscopes,E07.230.220.260.320
 Erysipelas,C01.252.410.334.776
 Pulmonary Edema,C08.381.742
 Animal Experimentation,E05.017
 Virus Replication,G06.590.875.780
 Neurodevelopmental Disorders,F03.625
 Sodium Dodecyl Sulfate,D02.033.415.220.720
 Mandibular Fractures,C10.900.300.284.500.400.255
Breast Neoplasms,C04.588.180.788
 Southeastern United States,Z01.107.567.875.750
 Phosphate Transport Proteins,D12.776.157.530.450.074.750
 Amenorrhea,C23.550.568.500
 Chills,C23.888.208
 African Americans,M01.686.508.100.100
 letrozole,@153255
 Software,L01.224.900.685
 Antimalarials,D000962
 Luteinizing Hormone,D06.472.699.322.576.463.500
 Phoca,B01.050.150.900.649.147.600.700.600
 Unemployment,N01.824.245.850
 Multivariate Analysis,E05.318.740.150.500
Osteolysis,C05.116.099.052.400
 Erwinia,B03.440.450.425.300.050
 Distillation,E05.196.155.249
 Aminoglycosides,D09.408.051
 diethanolamine,@158210
 Hair,C17.800.329.937.122.348
 Stethoscopes,E07.230.750
 Yersinia,B03.440.450.425.900.650
 Pelvis,A01.923.600.500
Amino Acids,G02.111.087.019.055
 Premenopause,G08.686.157.500.812
 Sedentary Lifestyle,F01.829.458.705
 Aggression,F01.145.126.125
Marine Biology,H01.158.273.248.750.500
 Neomycin,D08.811.913.696.620.475
 Gastric Juice,A12.200.307
 Integrases,D08.811.739.500
 Horse Diseases,C22.488
 Iowa,C10.574.500.050
 Monosaccharides,D09.546.142
 Boxing,I03.450.642.845.210
 Murinae,B01.050.150.900.649.865.635.505
 Snakes,B01.050.150.900.833.672.350
 Glass,D25.339.291.402
 Ships,J01.937.817
 Antiparasitic Agents,D000977
 Chest Pain,C10.597.617.192
 Libraries,L01.346.596.831
 Naproxen,D08.811.277.352.100.100
 Memory,F02.463.425.540.886
 Hepatomegaly,C06.552.416
 Prognosis,E01.789
 Electron Transport,D08.811.600.250
 Masseter Muscle,C10.597.613.750.700
 Crohn Disease,C06.405.205.731.500
 Fluconazole,D03.383.129.799.450
 Suppositories,D26.255.785
Asphyxia,C16.614.092
 Brain Concussion,C10.228.140.199.250
Helping Behavior,F01.145.813.225
Police,M01.526.373.750
 Child Health,I01.409.418.750.600.480.440
 Placebo Effect,N05.715.350.350.625
 Oxidants,D016877
Forests,G16.500.275.157.437.750
 Chlamydia Infections,C01.252.400.210.210
 Diet Records,N04.452.859.360
 Parenting,F01.829.263.370.310
Netherlands,Z01.107.757.833
 Haemophilus influenzae,B03.440.450.600.450.330.150
United States National Aeronautics and Space Administration,I01.409.418.750.984
 Dust,B01.050.500.131.166.132.419.600.215
 Air Travel,I03.883.209
 Running,C10.228.140.490.450
 Haplorhini,B01.050.150.900.649.801.400
 Thalidomide,D02.241.223.805.810.800
 Spiritualism,K01.844.799.679
 Organizations,N03.540.162
 Neck,E04.680.152
 Single Person,F01.829.263.315.500.725
 Insect Viruses,B04.525
 Tarsal Bones,A02.835.232.043.300.710
 Acute Pain,C10.597.617.088
 Violence,I01.880.735.900.575
 Nitrates,D01.248.497.158.606
South America,Z01.107.757
 Optimism,F01.100.787
 Birth Rate,E05.318.308.985.775.500
 Sesame Oil,D10.212.302.380.775
 Hyperventilation,C10.597.606.358.800.600
 Logic,E05.599.250
 Dicloxacillin,D02.065.589.099.750.625.150.205
 Hydrogen Peroxide,D01.248.497.158.685.750.424
 Dental Hygienists,M01.526.485.067.105.376
Seasons,G01.910.645.661
 Food Storage,J01.576.423.200.387
 Micrococcus luteus,B03.510.024.049.475.500.500
 Punishment,F02.463.425.770.571
 District of Columbia,Z01.107.567.875.500.210
Agrobacterium tumefaciens,G05.360.600.550
 Rimantadine,D02.455.426.100.050.750
 Stomach Neoplasms,C04.588.274.476.767
 Protozoan Infections,C03.701.688
 Cholinesterase Inhibitors,D002800
 Republic of Belarus,Z01.542.248.700
 Vocal Cords,A04.329.364.737
 Rumex,B01.650.940.800.575.100.825.850
 Diatoms,B01.750.875
 Phenylephrine,D02.033.100.291.617
 Ubiquinone Q2,@189465
 Memantine,D02.455.426.100.050.035.500
 Randomized Controlled Trials as Topic,E05.318.760.250.500.365.250
 Contraceptive Devices,E07.190.250.520
 Macaca,B01.050.150.900.649.801.400.112.199.120.510.570
 Scoparia,B01.650.940.800.575.100.583.700.850
 Estrogens,D004968
 Legionella pneumophila,B03.440.400.425.450.450.500
 Astronomy,G01.060.249.500
 glyphosate,@137000
 Natural Science Disciplines,H01
 jojoba wax,@62249
 Yoga,E02.190.525.311
Microbiota,G06.755
Cold Temperature,G01.906.595.272
 Molecular Structure,G02.111.570
Nebulizers and Vaporizers,E07.605
 Hospices,N02.278.421.556.185
 USSR,Z01.586.950
 Fusarium,C01.539.800.200.383.500
 Coroners and Medical Examiners,M01.526.485.230
 Nigeria,Z01.058.290.190.565
 Enterohemorrhagic Escherichia coli,B03.440.450.425.325.300.800.250
 Scandinavian and Nordic Countries,Z01.542.816
 Louisiana,Z01.107.567.875.750.480
 Social Change,I01.880.853.400
 Functional Food,G07.203.300.572
 Ointments,D26.255.640
Australia,Z01.639.100.996
 Benzamides,D02.065.277
 Quartz,E05.196.778
Life Change Events,F01.829.458.410
 Larva,C03.335.508.523.780
 Dentists,N04.590.374.505
 Pyocyanine,D03.494.704.700
 Retina,C11.270.516
 Hemoptysis,C08.381.348
 Syzygium,B01.650.940.800.575.100.773.900
 Sus scrofa,B01.050.150.900.649.077.880.399
 Entrepreneurship,J01.219.375
 Herniorrhaphy,E04.680.325
 Cicer,B01.650.940.800.575.100.401.150
 Hypesthesia,C10.597.751.791.500
 New York,Z01.107.567.875.350.530.530
Autoimmunity,G12.450.192
 International Agencies,N03.540.514
 Sucralfate,D02.691.925
 Operating Rooms,N02.278.388.700
 Hospitalization,N03.219.521.576.343.492
 Blogging,L01.224.230.110.500.500
 Mutagens,D009153
Phytotherapy,E02.190.755
 Bacteroidetes,B03.140
 Uracil,D08.811.074.249.875
 Stretchers,E07.325.220.500
 Systems Biology,H01.158.273.180.800
 Contracture,E04.502.250.070.500
 Propane,D02.455.326.146.800
 Meridians,E02.190.044.555
 Salicylates,D02.241.223.100.300.595
 Organic Agriculture,J01.040.895
 Mouthwashes,D009067
 Osteoporosis,C05.116.099.052.400
 Microfluidics,E05.830.666
 Babesia,B01.043.075.600.580.070.550
 Sensory Receptor Cells,A08.675.650.915
 Monoamine Oxidase,D008996
 Podiatry,H02.696
Midrin,@96567
 Genetic Techniques,E05.393
 EPs 7630,@1761
Lyme Disease,B03.440.425.410.711.193.150.125
meat tenderizer,@69040
 Lipopolysaccharides,D09.400.500
 British Columbia,Z01.107.567.176.160
Filtration,A05.810.453.324.359.372
 Back Muscles,A02.633.567.175.875
 Metabolic Diseases,C16.320.565.925
 Cost Savings,N03.219.151.160.200
 Schistosoma mansoni,C03.335.865.859.576
 Phthiraptera,B01.050.500.131.617.690
 Hobbies,I03.450.642.469
 Byssinosis,C08.381.483.581.275
 Weather,G16.500.275.063.725
Hemispherectomy,E04.525.160.500
 Carotid Stenosis,C10.228.140.300.200.360
 Colistin,D04.345.566.780.110
 Mycobacterium tuberculosis,B03.510.024.049.525.500.702
 Squalene,D08.811.682.690.708.749
 Trigger Points,A01.947
Friends,K01.844.188.644
 Thiocarbamates,D02.241.081.251.869
 Drug Interactions,G07.690.773.968.755
 Vertigo,C09.218.568.900.883.500
 Reishi,B01.300.179.120.379.700
 Aromatherapy,E02.190.525.061
 polidocanol,@179551
 Intention,E05.318.760.250.500.365.500.250
 Salmonella Food Poisoning,C01.252.400.310.821.606
 Mars,G01.060.249.730.700.625
 Cladocera,B01.050.500.131.365.150
 Prion Diseases,C10.228.228.800
 Maryland,E06.780.346.760.433.271.260
Arteries,C14.240.850.976
 Metabolic Syndrome X,C18.452.394.968.500.570
 Panicum,B01.650.940.800.575.100.822.680
Platinum,D01.710
 Ions,G01.249.467
Postal Service,I01.451.617
Secale,B01.650.940.800.575.100.822.857
Stem Cell Transplantation,E04.936.225.687.625
 Missionaries,M01.427
 Rabies,B04.820.455.750.500.700
 Adenoviridae,C02.256.076
 Suicide,G05.360.340.024.340.825.500
 Roflumilast,@124179
 Moscow,Z01.433.653
 candesartan cilexetil,@213023
 Furunculosis,C01.252.410.868.820.270
 Cystitis,C12.777.829.495.500
 Physical and Rehabilitation Medicine,H02.403.680
 Geranium,B01.650.940.800.575.100.462.500
 Tendons,A02.513.514.475
 Antitoxins,D12.776.124.486.485.114.573.601
 lanthionine,@170721
 Melioidosis,C01.252.400.170.531
 Insect Control,N06.850.780.200.650.425
 Electromagnetic Phenomena,G01.358.500
Spirometry,E01.370.386.700.750
Renal Dialysis,E07.858.082.585
 Stellaria,B01.650.940.800.575.100.195.827
Gigantism,C16.131.077.889
Noise,E02.331.750
 Glutathione,D08.811.913.225.500.500
 Widowhood,F01.829.263.315.500.862
 Leukotriene Antagonists,D020024
 Gallstones,C06.130.409.633
 Spine,C05.116.821.500
 Mentally Ill Persons,M01.150.725
 Democratic Republic of the Congo,Z01.058.290.100.220
 Immunization,E02.095.465.425.400.530.890.500
Awareness,C23.550.505.400
 arbidol,@205453
 Ohio,Z01.107.567.875.075.512
 Distel,@61054
 Bronchioles,A04.411.125.500
 Obsessive Behavior,F01.145.126.950
 Arabs,M01.686.754.167
 Nematode Infections,C03.335.508
 Serbia,Z01.542.248.786
 Lactococcus,B03.353.750.737.500
 Nucleocapsid Proteins,D12.776.964.970.600
 Coriolaceae,B01.300.179.120.174
 Hares,B01.050.150.900.649.521.400
 Zinc,D12.776.260.790
 Elastic Tissue,A10.165.400
 Chenopodium quinoa,B01.650.940.800.575.100.200.599.875
Rabeprazole,D02.886.640.074.750
 Creatinine,D03.383.129.308.207
 Colic,C10.597.617.947
 Hate,F01.470.548
 Physiological Processes,G13.750.829
 Sulfides,D01.248.497.158.874
 Ipratropium,D02.145.074.722.229.400
 Social Norms,F01.829.750
 Biomphalaria,B01.050.500.644.400.750.185
 Ventriculoperitoneal Shunt,E04.035.188.850
 Tooth Extraction,E04.545.700
 Earth Sciences,H01.277
 Oceania,Z01.678
 Thiamine,D02.886.675.900.900
 Spirometry,E01.370.386.700.750
 Leptospirosis,C01.252.400.511.739
 Legendary Creatures,I01.076.201.450.515.500
 Legionella,B03.440.400.425.450.450.400
 Chemical Engineering,J01.293.257
 Reptiles,B01.050.150.900.833
 Mumps,D20.215.894.815.500
 Ketoconazole,D03.383.606.560
 Grasshoppers,B01.050.500.131.617.678.369
 Diabetes Mellitus,C05.660.207.325
Hunger,F01.658.293.391
 Tachycardia,C10.177.575.600.625
 Anthelmintics,D000871
 Patient Safety,N06.850.135.060.075.399
 Adhesives,D014014
 Therapeutic Irrigation,E02.779.492.500
 Pelvic Inflammatory Disease,C01.539.635.500
 lard,@140135
 Natural Resources,I01.240.600.660
Scrophulariaceae,B01.650.940.800.575.100.583.800
 Cellulose,D05.750.078.562.180.357
 Contact Tracing,E05.318.270
 Nitrogen,G02.111.087.599
 Microwaves,G01.358.500.505.810.500
 linalyl acetate,@197942
Hearing Tests,E01.370.382.375
 Ostreidae,B01.050.500.644.080.643
 China,B01.650.940.800.575.100.898.044
 Polypropylenes,D02.455.326.271.665.590
 Phenylpropanolamine,D02.033.100.624.706
Meridians,E02.190.044.555
 Hyperbaric Oxygenation,E02.880.690.490
 Stalking,F01.145.126.950.500
 Adrenal Cortex Hormones,D06.472.040
 Organophosphonates,D02.705.429
Drug Hypersensitivity,C17.800.174.600.262
 Juniperus,B01.650.940.800.575.400.122.188.500
 Saskatchewan,Z01.107.567.176.858
 Habits,F01.145.466.874
 Sleep Paralysis,C10.886.659.633.800
 Nose,E07.230.210
 Epidemiologic Studies,E05.318.760.500
 Polysaccharides,D09.698.357
 Prodigy,@73250
 Early Diagnosis,E01.390.500
 Drug and Narcotic Control,I01.880.604.605.250
 Odds Ratio,E05.318.740.600.600
 Intercellular Signaling Peptides and Proteins,D12.644.276
 Synovitis,C05.116.099.708.025
 Swine,B04.820.545.405.400.214
 Arachnoid,C04.182.044
Spine,C05.116.821.500
 Garbage,N06.850.860.510.900.600.400
 Tissue and Organ Procurement,N02.421.911
Child,F03.625
 Psyllium,D20.215.784.500.720
 Intraabdominal Infections,C01.539.463
Piperazines,D03.383.606
 Fires,N06.230.216
 Tetraodontiformes,B01.050.150.900.493.875
 Smiling,F01.145.209.530.385.671
Oryza,B01.650.940.800.575.100.822.616
 Siphonaptera,B01.050.500.131.617.750
 Specialization,H02.811
 Chamaemelum,B01.650.940.800.575.100.100.195.288
 Aspartic Acid,D06.472.699.587.200.400.100
 Soaps,D27.720.877.265.861
 Housing,N01.224.791.400.410
 Criminals,M01.142
 Pallor,C23.888.885.500
Imidazoles,D03.383.129.308
 Lipids,D10.570
 Copyright,I01.880.604.583.458.300
 Environmental Pollutants,D004785
 Ontario,Z01.107.567.176.639
 Induced Pluripotent Stem Cells,A11.872.040.500
 Autoimmune Diseases,C10.114.375
 Epistaxis,C08.460.261
New York,Z01.107.567.875.350.530.530
 Diphenhydramine,D02.092.471.320
 Eagles,B01.050.150.900.248.815.350.200
 Ubiquitins,D12.776.947
 menthofuran,@49134
 kamala,B01.650.940.800.575.100.350.505
 Visually Impaired Persons,M01.150.850
 Streptomyces aureofaciens,B03.300.390.400.810.768.125
 Mass Vaccination,E02.095.465.425.400.530.890.500
 Viral Load,E01.370.225.875.950
 Celecoxib,@158754
 Asbestos,D01.524.500.040
 Mustelidae,B01.050.150.900.649.147.550
 Skin Ulcer,C17.800.893
 Tetrazoles,D03.383.129.617
 Carbon Isotopes,D01.496.123
Tympanic Membrane,E04.580.450.802
 Pasteurization,J01.576.423.200.850
 Colonoscopy,E01.370.350.350.810.180
 Nunavut,Z01.107.567.176.614
Nuclear Family,F01.829.263.500
 Central Nervous System Stimulants,D000697
 Neurocutaneous Syndromes,C10.562
 Aspirin,C08.127.108.054
Soccer,I03.450.642.845.800
 Judgment,K01.752.566.479.113.750
 Fluoroquinolones,D03.438.810.835.322
 Drowning,C26.304.500
 Testosterone,D27.505.519.389.870.200
 Skull,C05.116.099.052.400
 Calcium Channel Blockers,D002121
 Work,I03.946.449
 Bisexuality,F01.145.802.975.200
 Deoxyadenosines,D03.438.759.590.138.325
 Noninvasive Ventilation,E02.041.625.591
 Lilium,B01.650.940.800.575.100.610.500
 Industrial Development,I01.261.262.500
 Methane,B03.440.400.425.500
Physiological Processes,G13.750.829
Weather,G16.500.275.063.725
 Mental Recall,F02.463.425.540.641
 Dolphins,B01.050.150.900.649.189.267.750
 Nursing Staff,M01.526.485.680.490
 Electrocardiography,E01.370.370.380.240.230
 Monday morning fever,@156727
 Enema,E02.319.347
Indigo Carmine,D03.438.473.396
 Verbascum,B01.650.940.800.575.100.583.800.899
 Northwestern United States,Z01.107.567.875.560
 Azathioprine,D02.886.759.111
Social Media,L01.224.230.110.500.750
 Vaccinium macrocarpon,B01.650.940.800.575.100.343.774.750
 alginic acid,D09.698.068
 Licensure,N03.706.110.510.560
Biology,H01.158.273.904
 Rosmarinus,B01.650.940.800.575.100.583.520.757
 TRPV1 receptor,@171599
Punctures,E01.370.225.998.054.790
 Atlantic Islands,Z01.639.040
 Hibernation,C14.280.671
 West Nile virus,D20.215.894.899.962
 Goblet Cells,A03.556.124.369.320
 Diagnostic Errors,E01.354
 South Carolina,Z01.107.567.875.075.662
 Enteric Nervous System,A08.800.050.150
 Molecular Mimicry,G02.111.087.560
Energy Drinks,G07.203.100.512
 kefir grain polysaccharide,@6612
 Accreditation,N03.706.110.070.410
Tetanus,D20.215.894.135.535.295
 Hepatitis B virus,B04.280.375.650.460
 Surgical Wound Infection,C01.539.947.692
 Alcoholic Intoxication,C25.775.100.250
 Tsetse Flies,B01.050.500.131.617.289.400.700
 polyetheretherketone,@19404
 Moon,B01.050.500.308.690
 Meteoroids,G01.060.249.500
 Civilization,I01.076.201.450.226
 Hockey,I03.450.642.845.475
 Propylene Glycol,D02.033.455.706.725
 Punicaceae,B01.650.940.800.575.100.833
 Connective Tissue Diseases,C17
 Tyrosine,D08.811.913.696.620.682.725.400.009.600
 Weapons,D20.215.226
 Petroselinum,B01.650.940.800.575.100.075.750
 Macrophages,A11.329.372.630
 Petasites,B01.650.940.800.575.100.100.596
 Ribs,A02.835.232.904.567.150
 Sanitary Engineering,H02.229.656
 Amphetamines,D02.092.471.683.152
 Schistosomiasis,C03.105.250.600
 MEDLINE,L01.313.500.750.280.710.500
 Colon,C04.700.250.500
 Mummies,I01.076.368.584.500
 Protease Inhibitors,D017320
